metric_key,metric_label,model,training_rows,matched_players_f_m,mae,r2,input_season,target_season
assists_90,Asistencias,Ridge,3957,110,0.06565805996691992,0.39361941818916013,2024-2025,2025-2026
goals_90,Goles,Ridge,3957,110,0.08826952008787795,0.6869917607995906,2024-2025,2025-2026
xA_90,Asistencias esperadas,Ridge,3957,110,0.04486194878962739,0.6532773747049976,2024-2025,2025-2026
xG_90,Goles esperados,Ridge,3957,110,0.06745169221444308,0.8103132564557459,2024-2025,2025-2026
