xg_range,n_players,actual_xg_90_mean,predicted_xg_90_mean,mae,mean_signed_error,r2,overestimations,underestimations
bajo_<0.10,114,0.04385964912280702,0.0661355841198076,0.03024320097340452,0.022275934997000604,-1.3627367696594197,89,25
medio_bajo_0.10_0.25,44,0.1525,0.16129296715258545,0.06576777861781274,0.008792967152585507,-2.485388279998347,18,26
medio_alto_0.25_0.50,34,0.3652941176470588,0.3315507730542781,0.08759895780045565,-0.03374334459278065,-1.978676190141496,8,26
alto_>=0.50,13,0.6446153846153846,0.5210002990423065,0.15097616559084998,-0.12361508557307813,-0.9748901943352428,1,12
