id,player_name,position,position_main,team_title,league,season,season_start_year,next_season,next_team_title,next_league,games,time,minutes_per_game,high_participation,goals_90,xG_90,assists_90,xA_90,shots_90,key_passes_90,yellow_cards_90,red_cards_90,npg_90,npxG_90,xGChain_90,xGBuildup_90,next_games,next_time,target_next_xG_90
7320,Amos Pieper,D,D,Arminia Bielefeld,Bundesliga,2020-2021,2020,2021-2022,Arminia Bielefeld,Bundesliga,30,2686,89.53333333333333,1,0.0335070737155621,0.0493737268753971,0.0335070737155621,0.0139411708044633,0.5026061057334327,0.2345495160089352,0.201042442293373,0.0,0.0335070737155621,0.0493737268753971,0.1160539651382506,0.1142021224363162,27,2385,0.0277909962636119
8794,Cédric Brunner,D S,D,Arminia Bielefeld,Bundesliga,2020-2021,2020,2021-2022,Arminia Bielefeld,Bundesliga,31,2676,86.3225806451613,1,0.0,0.008915313864085,0.0336322869955156,0.0399950649923406,0.2017937219730941,0.5381165919282511,0.2017937219730941,0.0,0.0,0.008915313864085,0.1236845533605748,0.0901018780230172,27,2202,0.0085832083176527
8792,Fabian Klos,F M S,F,Arminia Bielefeld,Bundesliga,2020-2021,2020,2021-2022,Arminia Bielefeld,Bundesliga,34,2750,80.88235294117646,1,0.1636363636363636,0.2324394076588479,0.0654545454545454,0.1488124153424393,1.767272727272727,1.0472727272727271,0.1309090909090909,0.0,0.1309090909090909,0.1828421082347631,0.4133769980818033,0.1290527248450301,25,1424,0.280680550580185
8793,Fabian Kunze,M S,M,Arminia Bielefeld,Bundesliga,2020-2021,2020,2021-2022,Arminia Bielefeld,Bundesliga,26,1242,47.76923076923077,0,0.0,0.0306940726611925,0.0,0.0208854779223169,0.5072463768115942,0.3623188405797101,0.4347826086956521,0.0,0.0,0.0306940726611925,0.2159685136723345,0.1744483851328276,22,1245,0.025219592389213
8795,Jacob Laursen,D S,D,Arminia Bielefeld,Bundesliga,2020-2021,2020,2021-2022,Arminia Bielefeld,Bundesliga,16,1110,69.375,1,0.0,0.0036131108079004,0.081081081081081,0.0840210645786813,0.1621621621621621,0.3243243243243243,0.081081081081081,0.0,0.0,0.0036131108079004,0.1893371340592165,0.1808402012731578,24,1652,0.0101439255463369
8799,Joakim Nilsson,D S,D,Arminia Bielefeld,Bundesliga,2020-2021,2020,2021-2022,Arminia Bielefeld,Bundesliga,25,2162,86.48,1,0.0,0.0390582309069179,0.0,0.0060661622839157,0.2081406105457909,0.0832562442183163,0.0416281221091581,0.0,0.0,0.0390582309069179,0.0951994351343106,0.0824738852076652,31,2741,0.0189866933941743
8789,Manuel Prietl,M,M,Arminia Bielefeld,Bundesliga,2020-2021,2020,2021-2022,Arminia Bielefeld,Bundesliga,28,2519,89.96428571428571,1,0.0357284636760619,0.0261763094803492,0.0357284636760619,0.0604403962252891,0.6431123461691147,0.3930131004366812,0.1071853910281857,0.0,0.0357284636760619,0.0261763094803492,0.1793771618278419,0.129331835775195,26,2115,0.0348385919202515
9352,Masaya Okugawa,M S,M,Arminia Bielefeld,Bundesliga,2020-2021,2020,2021-2022,Arminia Bielefeld,Bundesliga,13,929,71.46153846153847,1,0.0968783638320775,0.1171082240981485,0.0,0.0641471739613779,0.8719052744886975,0.38751345532831,0.0,0.0,0.0968783638320775,0.1171082240981485,0.2489949474502174,0.0762297563150573,33,2562,0.1429121187109439
5298,Arne Maier,M S,M,"Arminia Bielefeld,Hertha Berlin",Bundesliga,2020-2021,2020,2021-2022,Augsburg,Bundesliga,18,1081,60.05555555555556,1,0.0,0.046231009886289,0.0,0.103354118867785,0.91581868640148,0.9990749306197964,0.0,0.0,0.0,0.046231009886289,0.2043281916001679,0.1405575938667554,29,1885,0.0650846706184531
412,André Hahn,F M S,F,Augsburg,Bundesliga,2020-2021,2020,2021-2022,Augsburg,Bundesliga,29,2053,70.79310344827586,1,0.3507062834875791,0.2075010029185351,0.1315148563078421,0.0910586789676795,1.8850462737457376,0.8329274232830004,0.1753531417437895,0.0,0.3507062834875791,0.2075010029185351,0.3651289537247801,0.1061423440884365,32,2116,0.1779524833430485
