experiment,evaluation_type,subset,model,n_train,n_test,mae,r2,test_period,interpretation
external_laliga_2025_2026_f_m,evaluación externa,F y M,RandomForestRegressor,,110,0.07380105967398197,0.7560514354095341,2024-2025 → 2025-2026,"Evaluación externa restringida a delanteros, atacantes y centrocampistas. Es el subconjunto más relevante para analizar una métrica ofensiva como xG_90."
external_laliga_2025_2026_global,evaluación externa,jugadores emparejados sin porteros,RandomForestRegressor,,205,0.05503688725877282,0.8023194863547602,2024-2025 → 2025-2026,"Evaluación externa usando datos de 2024-2025 para predecir xG_90 real en LaLiga 2025-2026. La unión se realiza mediante nombre normalizado, por lo que debe interpretarse con cautela."
external_laliga_2025_2026_F,evaluación externa por posición,solo F,RandomForestRegressor,,61,0.09948856212210867,0.6258049216560712,2024-2025 → 2025-2026,"Evaluación externa restringida a delanteros y atacantes. Es el grupo con mayor variabilidad ofensiva, por lo que se espera un error superior."
external_laliga_2025_2026_M,evaluación externa por posición,solo M,RandomForestRegressor,,49,0.04182274029978341,0.6918520248626222,2024-2025 → 2025-2026,Evaluación externa restringida a centrocampistas. Presenta un comportamiento más estable que los delanteros en términos de xG_90.
temporal_full,validación temporal interna,todos sin porteros,RandomForestRegressor,3003.0,954,0.0576742220570605,0.7241788401629361,2023-2024 → 2024-2025,"Modelo temporal con todas las variables históricas, incluyendo xG_90 y npxG_90 de la temporada anterior. Representa el escenario con máxima información ofensiva previa."
temporal_without_previous_xg,validación temporal interna,todos sin porteros,RandomForestRegressor,3003.0,954,0.0600737373480828,0.7030340583324918,2023-2024 → 2024-2025,"Modelo temporal sin xG_90 ni npxG_90 previos. Evalúa si variables como tiros, goles, asistencias, participación y posición permiten anticipar el rendimiento futuro sin usar directamente xG previo."
