id,player_name,position,team_title,league,season,position_main,games,time,minutes_per_game,high_participation,goals_90,assists_90,xA_90,shots_90,key_passes_90,yellow_cards_90,red_cards_90,xGChain_90,xGBuildup_90,target_xG_90
7320,Amos Pieper,D,Arminia Bielefeld,Bundesliga,2020-2021,D,30,2686,89.53333333333333,1,0.0335070737155621,0.0335070737155621,0.0139411708044633,0.5026061057334327,0.2345495160089352,0.201042442293373,0.0,0.1160539651382506,0.1142021224363162,0.0493737268753971
8788,Anderson-Lenda Lucoqui,D S,Arminia Bielefeld,Bundesliga,2020-2021,D,21,1605,76.42857142857143,1,0.0,0.0,0.0108658484766416,0.4485981308411215,0.3364485981308411,0.2803738317757009,0.0,0.0883996092548994,0.0800694060799117,0.0080691140980642
9128,Andreas Voglsammer,F M S,Arminia Bielefeld,Bundesliga,2020-2021,F,18,1010,56.111111111111114,0,0.1782178217821782,0.1782178217821782,0.1966038420796394,2.851485148514852,1.0693069306930694,0.0891089108910891,0.0,0.5045619705452188,0.0511256306810249,0.3412087300405054
8794,Cédric Brunner,D S,Arminia Bielefeld,Bundesliga,2020-2021,D,31,2676,86.3225806451613,1,0.0,0.0336322869955156,0.0399950649923406,0.2017937219730941,0.5381165919282511,0.2017937219730941,0.0,0.1236845533605748,0.0901018780230172,0.008915313864085
8792,Fabian Klos,F M S,Arminia Bielefeld,Bundesliga,2020-2021,F,34,2750,80.88235294117646,1,0.1636363636363636,0.0654545454545454,0.1488124153424393,1.767272727272727,1.0472727272727271,0.1309090909090909,0.0,0.4133769980818033,0.1290527248450301,0.2324394076588479
8793,Fabian Kunze,M S,Arminia Bielefeld,Bundesliga,2020-2021,M,26,1242,47.76923076923077,0,0.0,0.0,0.0208854779223169,0.5072463768115942,0.3623188405797101,0.4347826086956521,0.0,0.2159685136723345,0.1744483851328276,0.0306940726611925
8795,Jacob Laursen,D S,Arminia Bielefeld,Bundesliga,2020-2021,D,16,1110,69.375,1,0.0,0.081081081081081,0.0840210645786813,0.1621621621621621,0.3243243243243243,0.081081081081081,0.0,0.1893371340592165,0.1808402012731578,0.0036131108079004
8799,Joakim Nilsson,D S,Arminia Bielefeld,Bundesliga,2020-2021,D,25,2162,86.48,1,0.0,0.0,0.0060661622839157,0.2081406105457909,0.0832562442183163,0.0416281221091581,0.0,0.0951994351343106,0.0824738852076652,0.0390582309069179
8789,Manuel Prietl,M,Arminia Bielefeld,Bundesliga,2020-2021,M,28,2519,89.96428571428571,1,0.0357284636760619,0.0357284636760619,0.0604403962252891,0.6431123461691147,0.3930131004366812,0.1071853910281857,0.0,0.1793771618278419,0.129331835775195,0.0261763094803492
2645,Marcel Hartel,M S,Arminia Bielefeld,Bundesliga,2020-2021,M,22,1694,77.0,1,0.0,0.0,0.0588135010207681,1.115702479338843,0.7969303423848879,0.0531286894923258,0.0,0.1433253511643519,0.0562008615547995,0.0544000316769711
