id,player_name,games,time,position,team_title,league,season,goals_90,xG_90,assists_90,xA_90,shots_90,key_passes_90,yellow_cards_90,red_cards_90,npg_90,npxG_90,xGChain_90,xGBuildup_90,jornada,jornada_num,fecha_descarga,data_source
10364,Nahuel Tenaglia,9,810,D,Alaves,La-Liga,2025-2026,0.1111111111111111,0.09757509196384086,0.0,0.0021217504723204444,0.8888888888888888,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.09757509196384086,0.08905853289696905,0.0851135758890046,Jornada_10,10,2025-10-30 16:00:57,laliga_all
10857,Pablo Ibáñez,10,655,M S,Alaves,La-Liga,2025-2026,0.0,0.06313213752938135,0.0,0.02287286957939162,1.6488549618320612,0.549618320610687,0.4122137404580153,0.0,0.0,0.06313213752938135,0.23268039638304527,0.17364842291096697,Jornada_10,10,2025-10-30 16:00:57,laliga_all
12207,Victor Parada,8,313,D S,Alaves,La-Liga,2025-2026,0.0,0.17388687347070858,0.0,0.04956519353194547,0.5750798722044728,1.1501597444089455,0.5750798722044728,0.0,0.0,0.17388687347070858,0.15077819994177682,0.09691316586809036,Jornada_10,10,2025-10-30 16:00:57,laliga_all
13278,Youssef Lekhedim,7,400,D S,Alaves,La-Liga,2025-2026,0.0,0.05915949898771941,0.0,0.03388120243325829,0.9,0.45,0.45,0.0,0.0,0.05915949898771941,0.24022109610959888,0.16000916655175387,Jornada_10,10,2025-10-30 16:00:57,laliga_all
12724,Adama Boiro,1,49,D,Athletic Club,La-Liga,2025-2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18907994336011458,0.18907994336011458,Jornada_10,10,2025-10-30 16:00:57,laliga_all
8948,Aitor Paredes,7,545,D S,Athletic Club,La-Liga,2025-2026,0.1651376146788991,0.13381843385073025,0.0,0.0,0.6605504587155964,0.0,0.1651376146788991,0.0,0.1651376146788991,0.13381843385073025,0.06448456610834927,0.06448456610834927,Jornada_10,10,2025-10-30 16:00:57,laliga_all
13627,Alejandro Rego,5,72,S,Athletic Club,La-Liga,2025-2026,1.25,0.20378568675369024,0.0,0.05735197570174925,2.5,1.25,0.0,0.0,1.25,0.20378568675369024,0.12551927473396063,0.06816729903221125,Jornada_10,10,2025-10-30 16:00:57,laliga_all
5091,Alex Berenguer,8,588,F M S,Athletic Club,La-Liga,2025-2026,0.0,0.13457300806684153,0.0,0.26517488537546324,1.5306122448979593,1.989795918367347,0.15306122448979592,0.0,0.0,0.13457300806684153,0.2671534301979201,0.049522520252028294,Jornada_10,10,2025-10-30 16:00:57,laliga_all
6325,Andoni Gorosabel,3,66,D S,Athletic Club,La-Liga,2025-2026,0.0,0.0,0.0,0.10890248400921164,0.0,2.7272727272727275,0.0,0.0,0.0,0.0,0.1563142417845401,0.047411752695387,Jornada_10,10,2025-10-30 16:00:57,laliga_all
2498,Aymeric Laporte,6,470,D S,Athletic Club,La-Liga,2025-2026,0.0,0.012085285156648199,0.0,0.0,0.3829787234042553,0.0,0.19148936170212766,0.0,0.0,0.012085285156648199,0.19423790581207329,0.19217275289144922,Jornada_10,10,2025-10-30 16:00:57,laliga_all
