id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,league,season,jornada,fecha_descarga
3423,Kylian Mbappe-Lottin,11,971,13,11.105803787708282,2,2.6285524368286133,57,30,2,0,F,Real Madrid,10,8.132693201303482,11.724391639232635,2.940786302089691,La-Liga,2025-2026,11,2025-11-06 15:15:55
10846,Julián Álvarez,11,882,7,5.975852809846401,2,3.599356722086668,25,20,1,0,F,Atletico Madrid,5,3.7460199669003487,8.560416460037231,3.427032720297575,La-Liga,2025-2026,11,2025-11-06 15:15:55
10930,Etta Eyong,11,916,6,7.455085791647434,3,1.6703463960438967,28,8,2,0,F,"Levante,Villarreal",6,6.711808167397976,6.559077680110931,0.3054979722946882,La-Liga,2025-2026,11,2025-11-06 15:15:55
6441,Ferrán Torres,10,727,5,5.686739951372147,1,1.7259163558483124,28,11,1,0,F M S,Barcelona,5,5.686739951372147,8.996082067489624,2.1472349986433983,La-Liga,2025-2026,11,2025-11-06 15:15:55
7008,Vinícius Júnior,11,801,5,4.5835210010409355,4,3.236141674220562,30,25,1,0,F M S,Real Madrid,4,3.0969657450914383,8.667021453380585,2.6778986677527428,La-Liga,2025-2026,11,2025-11-06 15:15:55
9002,Vedat Muriqi,10,817,5,3.8924696259200573,0,0.12538825068622828,28,4,1,1,F,Mallorca,4,3.14919201657176,4.391919448971748,1.7651072763837874,La-Liga,2025-2026,11,2025-11-06 15:15:55
227,Robert Lewandowski,8,342,4,4.925175353884697,0,0.31363558769226074,16,1,0,0,F S,Barcelona,4,4.181897729635239,5.179850026965141,0.9979521185159683,La-Liga,2025-2026,11,2025-11-06 15:15:55
1235,Ante Budimir,11,915,4,4.365839213132858,0,0.19013910740613937,30,3,0,0,F S,Osasuna,2,2.136006359010935,2.560372471809387,0.6618976891040802,La-Liga,2025-2026,11,2025-11-06 15:15:55
2234,Mikel Oyarzabal,11,970,4,5.272550735622644,2,3.247882191091776,31,20,1,0,F,Real Sociedad,2,3.7859955094754696,7.47028486430645,2.816420089453459,La-Liga,2025-2026,11,2025-11-06 15:15:55
2252,Borja Mayoral,8,582,4,2.2312817722558975,1,0.5318673253059387,7,4,0,0,F S,Getafe,4,2.2312817722558975,1.9592138454318047,0.24291327595710754,La-Liga,2025-2026,11,2025-11-06 15:15:55
2543,Borja Iglesias,11,656,4,4.583568125963211,1,0.5624614711850882,19,8,2,0,F S,Celta Vigo,3,3.8402905203402042,5.611180309206247,1.656327050179243,La-Liga,2025-2026,11,2025-11-06 15:15:55
2589,Rafa Mir,11,787,4,3.2470277473330498,0,0.2572566047310829,28,3,1,0,F M S,Elche,4,2.503878079354763,3.394098427146673,0.8195981830358505,La-Liga,2025-2026,11,2025-11-06 15:15:55
4175,Pere Milla,9,627,4,3.6513831317424774,0,1.8892087861895561,33,15,3,1,F M S,Espanyol,4,3.6513831317424774,4.811191847547889,1.403295125812292,La-Liga,2025-2026,11,2025-11-06 15:15:55
6170,André Silva,10,615,4,3.4521498354151845,0,0.688881766051054,19,11,0,0,F S,Elche,4,3.4521498354151845,4.19812947511673,0.30884605273604393,La-Liga,2025-2026,11,2025-11-06 15:15:55
