id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,league,season,jornada,fecha_descarga
12190,Arda Güler,10,676,3,2.3931904770433903,4,2.8977733198553324,17,25,1,0,M S,Real Madrid,3,2.3931904770433903,4.865593411028385,1.960524830967188,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
12294,Carlos Vicente,10,683,3,2.3867382910102606,0,1.1949184201657772,6,11,0,0,F M S,Alaves,0,0.1569054629653692,1.396590244024992,0.4767807312309742,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
12305,Isaac Romero,9,569,3,2.628191296011209,0,0.6106556504964828,14,4,2,0,F S,Sevilla,3,2.628191296011209,3.5379943810403347,0.4417765885591507,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
13789,Adrián Liso,7,613,3,1.6754987612366676,0,0.0,12,0,1,0,F M,Getafe,3,1.6754987612366676,1.692446455359459,0.0853726174682378,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
498,Alexis Sánchez,7,385,2,0.9552295804023744,1,0.4123203307390213,5,7,0,0,F M S,Sevilla,1,0.2119519617408514,1.3224504366517067,0.9048009291291236,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
813,Salomón Rondón,9,571,2,3.362712323665619,0,0.1934819892048835,17,5,2,0,F S,Real Oviedo,2,2.619434706866741,2.607004091143608,0.2462645024061203,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
1709,Cristhian Stuani,6,145,2,1.8058407306671145,0,0.0,3,0,2,0,F S,Girona,0,0.3192854225635528,0.3192854225635528,0.0,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
2335,Pablo Fornals,10,857,2,1.2249225685372949,4,1.8593840757384896,12,18,1,0,M,Real Betis,2,1.2249225685372949,6.613215871155262,3.9408614113926888,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
5074,Kike García,9,335,2,4.128878906369209,0,0.9860512893646955,13,7,1,0,F S,Espanyol,1,3.385601297020912,4.50927122682333,0.2281261272728443,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
5656,Nicolas Pepe,10,662,2,3.522362153977156,1,2.639258662238717,23,24,1,0,F M S,Villarreal,2,3.522362153977156,8.291986882686615,3.47947964258492,La-Liga,2025-2026,Jornada_10,2025-10-30 16:00:57
