id,player_name,games,time,position,team_title,league,season,goals_90,xG_90,assists_90,xA_90,shots_90,key_passes_90,yellow_cards_90,red_cards_90,npg_90,npxG_90,xGChain_90,xGBuildup_90
227,Robert Lewandowski,29,2467,F S,Bayern Munich,Bundesliga,2020-2021,1.4957438184029186,1.1702312723883357,0.25537089582488853,0.175678763073504,4.925010133765707,1.1674098094852048,0.1459262261856506,0.0,1.2038913660316173,0.9214274261190576,1.1579314699335335,0.20755610208660907
6170,André Silva,32,2787,F,Eintracht Frankfurt,Bundesliga,2020-2021,0.9041980624327234,0.8266673377836352,0.16146393972012918,0.17654743772381024,3.681377825618945,1.0010764262648009,0.03229278794402583,0.0,0.6781485468245425,0.6553752202664946,0.863721938452917,0.13228512913453822
8260,Erling Haaland,28,2416,F S,Borussia Dortmund,Bundesliga,2020-2021,1.005794701986755,0.879082595528603,0.22350993377483444,0.1503271031014572,3.4271523178807946,1.005794701986755,0.07450331125827815,0.0,0.9312913907284769,0.7661685391039348,1.013143974115813,0.2196428170180972
956,Andrej Kramaric,28,2386,F M S,Hoffenheim,Bundesliga,2020-2021,0.7544006705783739,0.5856261645464815,0.18860016764459347,0.15361192574129695,3.583403185247276,1.4333612740989103,0.07544006705783739,0.0,0.5658005029337804,0.44270986141535473,0.6811366024234294,0.20264283563451468
7052,Wout Weghorst,34,2954,F S,Wolfsburg,Bundesliga,2020-2021,0.6093432633716994,0.5578659511736884,0.24373730534867974,0.1653547529900445,2.8334461746784023,1.3710223425863237,0.09140148950575491,0.0,0.5484089370345294,0.4886037889696511,0.7401792792642468,0.18142747646733645
8812,Sasa Kalajdzic,33,2146,F S,VfB Stuttgart,Bundesliga,2020-2021,0.6710158434296365,0.4713150022251103,0.2096924510717614,0.13574703928961557,2.767940354147251,1.0904007455731595,0.04193849021435228,0.0,0.6710158434296365,0.4713150022251103,0.6360223532879147,0.1512363923710093
208,Lars Stindl,30,1985,F M S,Borussia M.Gladbach,Bundesliga,2020-2021,0.6347607052896725,0.4176332493516751,0.36272040302267,0.16986756606651493,2.53904282115869,1.9496221662468514,0.2720403022670025,0.0,0.36272040302267,0.17713720673315173,0.48476821858839364,0.18734627476980165
155,Max Kruse,22,1648,F M S,Union Berlin,Bundesliga,2020-2021,0.6007281553398058,0.40684103413069056,0.27305825242718446,0.22677718213017922,1.6383495145631066,2.020631067961165,0.0,0.0,0.3276699029126214,0.1585493256559469,0.5097672742004823,0.22081483198438312
224,Thomas Müller,32,2693,M S,Bayern Munich,Bundesliga,2020-2021,0.36761975492016336,0.26254840852257666,0.6015595989602673,0.3778655111175508,1.6709988860007428,3.0746379502413665,0.0,0.0,0.33419977720014854,0.23722351888022458,0.8739311191762774,0.40738863305413847
6338,Lucas Alario,25,1238,F S,Bayer Leverkusen,Bundesliga,2020-2021,0.7996768982229403,0.5296296975688229,0.14539579967689822,0.06726221965327979,2.9806138933764132,1.0904684975767367,0.14539579967689822,0.0,0.654281098546042,0.41945210388697596,0.5882831482947931,0.1386143729806861
8807,Silas Wamangituka,25,1949,D F M S,VfB Stuttgart,Bundesliga,2020-2021,0.5079527963057978,0.3407003023131741,0.18471010774756283,0.22870499234533787,2.077988712160082,1.0620831195484863,0.27706516162134426,0.0,0.36942021549512566,0.23572390897389695,0.5621716359285223,0.09914024818541453
993,Serge Gnabry,27,1653,M S,Bayern Munich,Bundesliga,2020-2021,0.5444646098003629,0.4227784845619691,0.10889292196007261,0.3762252859352072,3.2123411978221412,2.0689655172413794,0.21778584392014522,0.0,0.5444646098003629,0.4227784845619691,1.0820645551973052,0.4759796172339882
1236,Patrik Schick,29,1869,F S,Bayer Leverkusen,Bundesliga,2020-2021,0.4333868378812199,0.446174286042802,0.04815409309791332,0.09943731026021378,2.696629213483146,1.3001605136436598,0.19261637239165327,0.0,0.4333868378812199,0.446174286042802,0.599927676372218,0.1670675242789102
5221,Leon Bailey,30,2151,F M S,Bayer Leverkusen,Bundesliga,2020-2021,0.37656903765690375,0.27282427014416727,0.33472803347280333,0.2656560710720936,2.426778242677824,2.050209205020921,0.2510460251046025,0.0,0.37656903765690375,0.27282427014416727,0.6437480664776958,0.20094673176564934
5266,Vincenzo Grifo,31,2341,F M S,Freiburg,Bundesliga,2020-2021,0.3460059803502777,0.2975880152862941,0.4228961982058949,0.3013671690177225,2.191371208885092,2.5373771892353694,0.07689021785561725,0.0,0.19222554463904315,0.18106298429659928,0.527344769398399,0.2034884545154828
6271,Ihlas Bebou,32,2193,D F M S,Hoffenheim,Bundesliga,2020-2021,0.3693570451436389,0.37428064684596335,0.28727770177838574,0.21871545225911854,1.9699042407660738,1.600547195622435,0.12311901504787962,0.0,0.3693570451436389,0.37428064684596335,0.627585734774533,0.2087542088383811
319,Marco Reus,32,2313,F M S,Borussia Dortmund,Bundesliga,2020-2021,0.311284046692607,0.4287518975451763,0.23346303501945526,0.30536951243529525,2.1789883268482493,1.906614785992218,0.038910505836575876,0.0,0.311284046692607,0.37648352928430656,0.7952334686157074,0.38123989898117133
412,André Hahn,29,2053,F M S,Augsburg,Bundesliga,2020-2021,0.35070628348757915,0.2075010029185351,0.13151485630784218,0.09105867896767952,1.8850462737457379,0.8329274232830004,0.17535314174378958,0.0,0.35070628348757915,0.2075010029185351,0.36512895372478016,0.10614234408843651
1277,Roland Sallai,28,1694,F M S,Freiburg,Bundesliga,2020-2021,0.42502951593860683,0.3632952371961849,0.15938606847697756,0.07349524810831057,2.497048406139315,0.7969303423848879,0.26564344746162927,0.0,0.371900826446281,0.3230354857192306,0.454253354247268,0.16723972689162458
4248,Nils Petersen,32,1268,F S,Freiburg,Bundesliga,2020-2021,0.5678233438485805,0.3853409991772957,0.0,0.03211534317665107,2.413249211356467,0.7097791798107255,0.0,0.0,0.4968454258675079,0.3315555994113913,0.40981728561539854,0.13197872546804063
5248,Marcel Sabitzer,27,2041,M S,RasenBallsport Leipzig,Bundesliga,2020-2021,0.3527682508574228,0.3396399989578141,0.13228809407153355,0.12755435359851805,2.6457618814306714,1.3228809407153357,0.3527682508574228,0.0,0.1763841254287114,0.20598377529139295,0.5743138386244169,0.3032627207122557
5992,Marcus Thuram,29,1756,F M S,Borussia M.Gladbach,Bundesliga,2020-2021,0.41002277904328016,0.38861377575755085,0.15375854214123008,0.09807970816617437,2.9214123006833717,0.8712984054669705,0.15375854214123008,0.05125284738041002,0.41002277904328016,0.38861377575755085,0.5743834750879565,0.17908579207944061
6345,Jadon Sancho,26,2083,F M S,Borussia Dortmund,Bundesliga,2020-2021,0.34565530484877577,0.29184034739836046,0.47527604416706676,0.3561828047773956,2.2467594815170426,2.8948631781084977,0.0,0.0,0.30244839174267885,0.2590991371810665,0.9065627840008234,0.4732517071114786
48,Jhon Córdoba,21,1545,F S,Hertha Berlin,Bundesliga,2020-2021,0.4077669902912621,0.4069772835061388,0.05825242718446602,0.08141243931593246,2.796116504854369,1.3980582524271845,0.17475728155339806,0.0,0.4077669902912621,0.4069772835061388,0.5017156270739522,0.05820048444913429
